Reference,品名/型番,値/仕様,フットプリント,数量,入手先
"C1, C2, C5, C8, C10",セラミックコンデンサ,1u,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm,5,秋月電子
"C3, C4, C9",セラミックコンデンサ,0.1u,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm,3,秋月電子
"C6, C12, C22, C30, C34, C37",セラミックコンデンサ,15p,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,6,秋月電子
"C7, C13, C14, C15, C23, C24, C25, C32, C33, C35, C36, C39, C40, C45, C48, C49",セラミックコンデンサ,0.01u,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm,16,秋月電子
"C11, C16",電解コンデンサ,100u,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,2,秋月電子
"C17, C18, C19, C20",電解コンデンサ,10u,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,4,秋月電子
"C21, C38, C44",セラミックコンデンサ,0.001u,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm,3,秋月電子
C27,セラミックコンデンサ,0.1uF,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,1,秋月電子
"C28, C29",セラミックコンデンサ,100pF,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,2,秋月電子
C31,セラミックコンデンサ,22pF,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,1,秋月電子
"C41, C42, C46, C47",セラミックコンデンサ,47PF,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm,4,秋月電子
C43,セラミックコンデンサ,5p,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,1,秋月電子
"C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60",電解コンデンサ,1u,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,11,秋月電子
"D1, D2, D5, D6, D7, D8",ゲルマニウムダイオード 1N60,1N60,Diode_THT:D_DO-35_SOD27_P2.54mm_Vertical_CathodeUp,6,秋月電子／サトー電気
IC1,三端子レギュレータ LP2950L,LP2950L-5.0V,Package_TO_SOT_THT:TO-92_Inline,1,秋月電子
IC2,デュアル OP アンプ NJM2904,NJM2904,Package_DIP:DIP-8_W7.62mm,1,秋月電子
J1,ピンヘッダ,RF_IN,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,1,秋月電子
J2,ピンヘッダ,SP-OUT,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,1,秋月電子
J3,ピンヘッダ,PWR_IN,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,1,秋月電子
"J4, J5",ピンヘッダ,Volume,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,2,秋月電子
J6,ピンヘッダ,Encoder,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,1,秋月電子
J7,ピンヘッダ,I2C_OUT-LCD,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,1,秋月電子
J8,ピンヘッダ,MIC-IN,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,1,秋月電子
J9,ピンヘッダ,TX-ON-LED,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,1,秋月電子
J10,ピンヘッダ,TJC4832T135,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,1,秋月電子
K1,リレー（DPDT）,G5V-2,Relay_THT:Relay_DPDT_Omron_G5V-2,1,秋月電子
"L1, L2, L3, L7, L8, L9",FCZ07S コイル（センタータップ付）,7T50,PSN_TRX:L_FCZ07S_CT,6,サトー電気
"L4, L5",T-50-10 トロイダルコイル 18巻,T-50-10 18T/0.4mm,PSN_TRX:L_T50_2pin_Vertical,2,サトー電気
L6,固定インダクタ（アキシャル）,47nH,Inductor_THT:L_Axial_L9.5mm_D4.0mm_P12.70mm_Horizontal_Fastron_SMCC,1,秋月電子
"L10, L11",固定インダクタ AL0510,100nH,PSN_TRX:L_AL0510-153K_Vertical,2,サトー電気
"L12, L13",固定インダクタ AL0510,1mH,PSN_TRX:L_AL0510-153K_Vertical,2,サトー電気
L14,固定インダクタ AL0510,15mH,PSN_TRX:L_AL0510-153K_Vertical,1,サトー電気
LED1,LED,LED,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,1,秋月電子
LED2,LED,LED黄,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,1,秋月電子
Q1,NPN トランジスタ 2SC2120,2SC2120,Package_TO_SOT_THT:TO-92_Inline,1,秋月電子／サトー電気
"Q2, Q5, Q9, Q11, Q12, Q13, Q14",NPN トランジスタ 2SC1815,2SC1815,Package_TO_SOT_THT:TO-92_Inline,7,秋月電子／サトー電気
Q3,デュアルゲート MOSFET（SMD） BF998,BF998,PSN_TRX:BF998_SOT143,1,Mouser／Digikey
Q4,NPN トランジスタ 2SC1923,2SC1923,Package_TO_SOT_THT:TO-92_Inline,1,サトー電気
Q6,PNP トランジスタ 2SA950,2SA950,Package_TO_SOT_THT:TO-92_Inline,1,秋月電子／サトー電気
